accommodation_id,Sector,Property Reg Number,Account Name,Rating,Address City/Town,Address County,Eircode/Postal code,Latitude,Longitude,Owner(s) as it appears on Register,Total Units
578,9,YHS09738,Errigal Youth Hostel,4.0,Dunlewey,4.0,F92 YR12,55.02999,-8.14058,Erin  Gormley,60
579,9,YHS09741,Ben Lettery Youth Hostel,4.0,Recess,4.0,H91 Y796,53.47082,-9.84296,Darragh Miller,40
580,1,HHS04329,Lahinch Coast Hotel & Suites,4.0,Lahinch,4.0,V95 VP9H,52.93184,-9.34484,Brid O'Meara,120
581,1,HHS04320,McGrory's of Culdaff,4.0,Culdaff,4.0,F93 TP9N,55.28623,-7.1656,Ciaran Devine,17
582,1,HHS04276,Hamlet Court,4.0,Johnstown Bridge,4.0,A83 WC04,53.40175,-6.85535,Patrica Gill,30
583,1,HHS04280,Kilford Arms Hotel,4.0,Kilkenny,4.0,R95 YND8,52.65427,-7.24758,Pius Phelan,66
584,13,BBL10988,Ashfield B&B,4.0,Kenmare,4.0,V93 WV78,51.88264,-9.56981,Mary Brennan,4
585,13,BBL11678,Ashmore House,4.0,Cashel,4.0,E25 PY68,52.51559,-7.88685,Laura Ryan,4
586,13,BBL10266,Ballard House,4.0,Clonakilty,4.0,P85 R234,51.63797,-8.84657,Ann Lehane,3
587,13,BBL11254,Avila,4.0,Kilkenny,4.0,R95 HW70,52.66663,-7.26585,Breda Dore,4
588,6,CCS00179,Ballinacourty House,4.0,Aherlow,4.0,E34 DF43,52.41631,-8.20986,Meg Stanley,45
589,13,BBL11368,Ballingowan House,4.0,Newcastle West,4.0,V42 XE29,52.45982,-9.03121,Carmel O'Brien,4
590,10,SCL15731,Bansha Castle,4.0,Bansha,4.0,E34 KH36,52.44921,-8.07033,Teresa Russell,1
